CVX,XOM,BP
50.81698226928711,45.57538604736328,32.15574264526367
51.176937103271484,45.75333023071289,32.38406753540039
51.18335723876953,46.148773193359375,32.5526008605957
50.99053192138672,46.00379180908203,32.541725158691406
51.080528259277344,45.81922912597656,32.617828369140625
51.98680877685547,46.33332443237305,33.64527893066406
51.684722900390625,46.1026496887207,33.43327713012695
51.29262924194336,45.91810607910156,33.596370697021484
51.13193893432617,45.9246940612793,33.558311462402344
50.92626190185547,45.54902267456055,33.50938034057617
51.21550369262695,45.65447235107422,33.879051208496094
50.2320671081543,44.83720779418945,33.194091796875
49.00437927246094,43.960628509521484,32.38406753540039
47.94383239746094,43.565185546875,31.459896087646484
47.91811752319336,43.40041732788086,31.829561233520508
47.66101837158203,43.446563720703125,31.796953201293945
47.37177276611328,43.19611358642578,31.563182830810547
47.07609176635742,42.81382751464844,31.166339874267578
46.356204986572266,42.46452713012695,30.508548736572266
47.29461669921875,43.617923736572266,31.111974716186523
47.85383987426758,44.13199996948242,30.149744033813477
47.05681610107422,43.89473342895508,29.99208641052246
45.8741340637207,42.655662536621094,29.07335662841797
45.75199890136719,42.70838165283203,28.9102725982666
45.07709503173828,42.68848419189453,28.502559661865234
45.83555603027344,43.252357482910156,29.144027709960938
45.475608825683594,43.02017593383789,29.16577911376953
46.105525970458984,43.278892517089844,29.79094886779785
46.07957458496094,42.98701095581055,29.720279693603516
47.36441421508789,43.96879959106445,30.416128158569336
47.26708984375,43.62384796142578,29.93595314025879
47.77323913574219,43.75651931762695,30.21192169189453
48.052276611328125,43.69682312011719,29.969078063964844
47.3449592590332,43.385032653808594,29.94148063659668
46.74795913696289,43.07987976074219,29.373010635375977
46.9426155090332,43.48454284667969,29.571704864501953
46.79337692260742,43.21255111694336,29.19087791442871
46.916664123535156,43.119667053222656,29.367481231689453
47.24761199951172,43.385032653808594,29.792463302612305
47.57856369018555,43.444732666015625,29.803497314453125
47.455257415771484,43.404930114746094,30.27814483642578
47.422813415527344,43.385032653808594,30.40509605407715
48.214508056640625,44.0948486328125,30.78590965270996
48.43512725830078,44.10148620605469,31.001161575317383
48.214508056640625,44.30050277709961,30.929397583007812
47.993865966796875,44.592369079589844,31.0122013092041
48.013328552246094,44.592369079589844,31.23846435546875
47.838134765625,44.31376266479492,31.38198471069336
47.74078369140625,43.98206329345703,31.227447509765625
48.006858825683594,44.16119384765625,31.55859375
48.454593658447266,44.68525695800781,32.09395217895508
48.51300048828125,44.70515060424805,32.09395217895508
48.6557731628418,44.47297286987305,31.840072631835938
48.31833267211914,44.42653274536133,31.652420043945312
48.51948928833008,44.41326904296875,31.983564376831055
47.974403381347656,44.11474609375,31.58618927001953
